Country Name,Access to electricity (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Energy use (kg of oil equivalent per capita),Forest area (% of land area),GDP per capita (current US$),Urban population (% of total population)
"Korea, Rep.",100.0,11.416265728100138,5336.924859661565,64.10860655737704,35674.09599563203,81.1645551720421
Kuwait,100.0,22.697211450894414,8952.274830657288,0.3507295173961841,34075.84901290902,100.0
Kyrgyz Republic,100.0,1.4409521462023311,591.211507833659,7.143378519290929,2138.22210211478,34.706439175362
Lao PDR,96.5,3.3586071115785754,880.5989827639961,71.45580589254766,2066.9497977695714,38.8070088517156
Latvia,100.0,3.6631965642269777,2240.3364970837497,54.99598264502652,22710.263754419742,68.3586316343061
Lebanon,100.0,1.8738742733385143,780.3301615046939,14.18670576735093,3477.7248984268376,90.4524074197598
Lesotho,57.3,0.4289474412841687,1467.1093190284712,1.137022397891963,916.2829769838036,42.6781596804785
Liberia,32.5,0.1528300131566707,1467.1093190284712,78.14223421926911,799.1944702296419,54.997863482224
Libya,73.2,8.651402974050665,2662.167366163956,0.1233276879184332,6026.515187088119,87.8647197919848
Lithuania,100.0,4.519942819035481,2437.0460115879387,35.23015015974441,27786.00578292757,68.575454583199
Luxembourg,100.0,10.416097714688714,4592.379793250304,34.45382721036644,133230.6191788991,94.8015300320787
"Macao SAR, China",100.0,2.4756923983500294,1467.1093190284712,32.38273808182967,67216.36311121237,100.0
Madagascar,39.4,0.1472692016382136,304.4288842700173,21.29626005500172,508.7184277055908,31.9799438860946
Malawi,15.6,0.222924211075164,1467.1093190284712,22.4406024607552,633.214767978695,16.9748746665356
Malaysia,100.0,8.03895132928611,3008.824199193009,57.71903819814336,11386.039563652774,76.4434752105739
Maldives,100.0,3.411065525462268,1467.1093190284712,2.751677852348993,12587.612603865124,41.5096832933973
Mali,54.5,0.3019463020244706,1467.1093190284712,10.896663634352027,1043.9533853528012,31.0031889023235
Malta,100.0,3.2342102263784334,1397.9960621386476,1.4375,40905.80595850569,95.6272277147965
Marshall Islands,100.0,0.0025755273392227,1467.1093190284712,52.22222222222223,6793.244958958559,78.3593928884282
Mauritania,50.3,0.961166094335404,1467.1093190284712,0.2876111380615116,2135.78187606359,59.7142464747058
Mauritius,100.0,3.461746994947331,1172.4164392412506,19.474211316975463,11269.96844621386,39.0039901092226
Mexico,99.7,3.6657652493404127,1467.1093190284712,33.59591764191466,13860.95978093256,79.4734935748046
"Micronesia, Fed. Sts.",86.9,0.0017757258279321,1467.1093190284712,92.15714285714286,3919.6430791085854,22.4334012451903
Moldova,100.0,3.339350951650329,1296.800890459414,11.737017916793198,6799.585946445756,43.0011825561523
Mongolia,100.0,7.799904916342181,2176.261356926724,9.091724058793035,5838.631080839024,70.4464492797852
Morocco,100.0,1.8573653487086048,600.6439128694103,12.937106878781089,3813.72607421875,62.673750838878
Mozambique,36.0,0.3186843767058043,362.823902471842,45.81303491950457,622.0002976828226,35.7149783148407
Myanmar,76.8,0.5771071152258705,410.8642145082523,42.40237792452541,1233.1966620926912,30.3820718069466
Namibia,56.7,1.2196031514345642,696.9756048251373,7.8051112001846255,4187.605003965253,49.9545837830821
Nauru,100.0,0.0,1467.1093190284712,0.0,12752.472385583756,100.0
Nepal,94.0,0.5196902037521013,442.6488522852293,41.59072200906871,1382.3305576930356,66.5432933453944
Netherlands,100.0,6.875705965341056,3418.136701322607,11.057442827442824,63515.60307800192,95.3221682092129
New Caledonia,100.0,16.782005726705076,1467.1093190284712,45.82713347921226,33701.892332278054,67.751522311337
New Zealand,100.0,6.110769230769231,3660.602736806577,37.78928411378224,49075.95628329268,83.8898991461229
Nicaragua,88.3,0.811432301333619,632.8130098437455,25.822918397872694,2609.444920729308,59.1250953674316
Niger,20.1,0.1209065780036267,161.25923388007172,0.8229572905976158,638.336080897887,17.7506873295237
Nigeria,61.2,0.5523392722522522,319.9004292117837,23.20789002711991,2138.763837199825,62.1746763155343
North Macedonia,100.0,4.387914319603286,1450.1417745679432,39.7101506740682,8674.358463274853,62.2518322545779
Northern Mariana Islands,100.0,0.0022151828633453,1467.1093190284712,52.95652173913044,7309.929761202353,91.9754112887573
Norway,100.0,7.537537586503083,4884.617524458598,33.50097455184341,87497.21796495565,83.0718560702166
Oman,100.0,18.96009105476456,5908.427100036699,0.0076226171243941,21027.738477888637,79.5702973228932
Pakistan,95.6,0.8439826517090123,414.95213020576455,4.672426317974264,1360.3241775841927,38.8191861872791
Palau,100.0,78.85711062221469,1467.1093190284712,90.54347826086956,15610.823193103235,79.1531991438847
Panama,97.0,2.8570505829088315,1019.9844211549066,56.34397276894042,18797.193399404456,65.8601271176084
Papua New Guinea,20.5,0.5291812465019224,1467.1093190284712,78.95413593605089,2966.0683043205463,15.0581017891206
Paraguay,99.8,1.1312441318463982,1043.9548570782986,38.54492526401281,6299.990265337135,69.3466081733694
Peru,96.2,1.922816180304824,823.3713742355827,56.10302023437501,7887.54185920108,84.7810255849745
Philippines,98.0,1.4139699247111173,580.1360554135003,24.46007311265386,3804.0827413109687,55.1242716168851
Poland,100.0,7.649777840336423,2639.203859966864,31.08041923792732,22145.26606474287,59.8859561370214
Portugal,100.0,3.536659540673088,1853.1567201688872,36.15499489114202,27634.6183139773,61.2048652633664
Puerto Rico (US),100.0,4.5664637404675466,1467.1093190284712,56.1217587373168,36980.78847842869,94.1774359275881
Qatar,100.0,48.64263683570078,16343.040404548929,0.0,81816.97979674811,99.2835325193835
Romania,100.0,3.6856918045804585,1600.6194233399117,30.115829276773297,18244.418687632093,52.1645747011867
Russian Federation,100.0,13.54623391451887,5498.305256225611,49.78436050356387,14159.3876953125,74.9805047873279
Rwanda,63.9,0.163983285357073,371.9359266929503,11.309282529387922,1027.0344682656455,28.8555310645477
Samoa,100.0,1.5383337256476646,1467.1093190284712,57.63669064748201,4822.740846500188,17.5012799804602
Sao Tome and Principe,81.3,0.6306552143837901,1467.1093190284712,52.125,2990.6606143534955,68.6043921103568
Saudi Arabia,100.0,18.854074466546937,7148.587251152911,0.4544841349217794,36156.848337700976,84.2962388315415
Senegal,74.2,0.7587854851975981,291.05060107503755,41.28270918817847,1698.0338730084263,54.6992276190794
Seychelles,100.0,7.009092199410551,1467.1093190284712,73.26086956521739,18262.711584928707,45.0971081321658
Sierra Leone,35.5,0.1667038590572296,1467.1093190284712,34.29883624272652,758.3291373782481,44.809324991151
Singapore,100.0,9.480337458395631,5282.7637359991,20.93314763231198,85412.23034523505,100.0
Slovak Republic,100.0,5.7397811577484825,3054.724382187151,40.056156405990016,24614.87346427939,53.190805019646
Slovenia,100.0,5.950875776541045,2895.951345901995,61.174893838933166,32660.475358134645,55.5378927789875
Solomon Islands,81.3,0.3747476578271386,1467.1093190284712,90.06002143622722,1882.6439414804188,30.0088821088389
"Somalia, Fed. Rep.",50.3,0.0462780008186892,1467.1093190284712,9.165285172314851,596.885985135589,54.0714435506882
South Africa,87.7,6.759227748790491,1938.5091601805275,13.96507266567196,6034.272089646732,63.5823705163545
Spain,100.0,4.570462169010067,2293.708146342028,37.192588954835465,33493.22254091113,80.128491001856
Sri Lanka,100.0,0.9792757634886784,466.7189936114127,34.00484966052377,3798.8901657301135,20.1455348442463
St. Kitts and Nevis,100.0,2.790966251764404,1467.1093190284712,42.30769230769231,22576.92484391659,31.7007809622822
St. Lucia,100.0,1.656580305100817,1467.1093190284712,34.04918032786885,13554.768478493274,29.0976313248036
